,uf,municipio,porte,2640000,5912002,8650006,3220500,4756300,5920100,7729202,8592903,9001902,4329105,9001906,1830001,cnpj_basico
0,AC,105,1.0,0,0,0,0,0,0,0,0,0,0,1,0,3
1,AC,105,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,AC,105,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,AC,105,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,AC,105,1.0,0,0,0,0,0,0,1,0,0,0,0,0,6
5,AC,105,1.0,0,0,0,0,0,0,1,0,1,0,0,0,1
6,AC,105,1.0,0,0,0,0,1,0,0,0,0,0,0,0,9
7,AC,105,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1
8,AC,105,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1
9,AC,105,1.0,0,0,0,0,1,0,1,0,0,0,0,0,4
10,AC,105,3.0,0,0,0,0,1,0,0,0,0,0,0,0,4
11,AC,105,5.0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,AC,107,1.0,0,0,0,0,0,0,0,0,0,0,1,0,12
13,AC,107,1.0,0,0,0,0,0,0,0,0,0,1,0,0,16
14,AC,107,1.0,0,0,0,0,0,0,0,0,0,1,1,0,1
15,AC,107,1.0,0,0,0,0,0,0,0,0,1,0,0,0,2
16,AC,107,1.0,0,0,0,0,0,0,0,0,1,0,1,0,1
17,AC,107,1.0,0,0,0,0,0,0,0,0,1,1,1,0,1
18,AC,107,1.0,0,0,0,0,0,0,0,1,0,0,0,0,4
19,AC,107,1.0,0,0,0,0,0,0,1,0,0,0,0,0,8
20,AC,107,1.0,0,0,0,0,0,0,1,0,0,0,1,0,3
21,AC,107,1.0,0,0,0,0,0,0,1,0,1,0,1,0,2
22,AC,107,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1
23,AC,107,1.0,0,0,0,0,0,1,0,0,0,0,0,1,2
24,AC,107,1.0,0,0,0,0,1,0,0,0,0,0,0,0,40
25,AC,107,1.0,0,0,0,0,1,0,0,0,0,0,1,0,8
26,AC,107,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1
27,AC,107,1.0,0,0,0,0,1,0,1,0,0,0,0,0,3
28,AC,107,1.0,0,0,0,0,1,0,1,0,1,0,1,0,4
29,AC,107,1.0,0,0,0,0,1,0,1,1,1,0,0,0,2
30,AC,107,1.0,0,0,0,1,1,0,0,0,0,0,0,0,1
31,AC,107,1.0,0,0,1,0,0,0,0,0,0,0,0,0,6
32,AC,107,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1
33,AC,107,1.0,0,1,0,0,0,1,0,0,0,0,0,0,3
34,AC,107,3.0,0,0,0,0,0,0,0,0,0,1,0,0,4
35,AC,107,3.0,0,0,0,0,0,1,0,0,0,0,0,0,1
36,AC,107,3.0,0,0,0,0,1,0,0,0,0,0,0,0,6
37,AC,107,3.0,0,0,0,0,1,0,1,0,1,0,1,0,2
38,AC,107,3.0,0,0,1,0,0,0,0,0,0,0,0,0,6
39,AC,107,5.0,0,0,0,0,0,0,0,0,0,0,1,0,1
40,AC,107,5.0,0,0,0,0,0,0,0,0,0,1,0,0,1
41,AC,107,5.0,0,0,0,0,0,0,0,0,1,0,0,0,1
42,AC,107,5.0,0,0,0,0,0,0,0,1,0,0,0,0,1
43,AC,107,5.0,0,0,0,0,1,0,0,0,0,0,0,0,5
44,AC,107,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1
45,AC,109,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1
46,AC,109,1.0,0,0,0,0,0,0,0,0,1,0,0,0,2
47,AC,109,1.0,0,0,0,0,0,0,1,1,1,0,1,0,1
48,AC,109,1.0,0,0,0,0,1,0,0,0,0,0,0,0,2
49,AC,109,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1
50,AC,109,3.0,0,0,0,0,0,0,0,0,0,1,0,0,2
51,AC,109,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1
52,AC,113,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1
53,AC,113,1.0,0,0,0,0,0,0,0,0,0,1,0,0,2
54,AC,113,1.0,0,0,0,0,0,0,0,0,0,1,1,0,1
55,AC,113,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1
56,AC,113,1.0,0,0,0,0,0,0,1,1,1,0,1,0,1
57,AC,113,1.0,0,0,0,0,0,1,0,0,0,0,0,0,5
58,AC,113,1.0,0,0,0,0,1,0,0,0,0,0,0,0,9
59,AC,113,1.0,0,0,0,0,1,0,1,0,0,0,0,0,1
60,AC,113,1.0,0,0,1,0,0,0,0,0,0,0,0,0,3
61,AC,113,3.0,0,0,0,0,0,0,0,0,0,1,0,0,2
62,AC,139,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1
63,AC,139,1.0,0,0,0,0,0,0,0,0,0,0,1,0,86
64,AC,139,1.0,0,0,0,0,0,0,0,0,0,1,0,0,45
65,AC,139,1.0,0,0,0,0,0,0,0,0,0,1,1,0,3
66,AC,139,1.0,0,0,0,0,0,0,0,0,1,0,0,0,53
67,AC,139,1.0,0,0,0,0,0,0,0,0,1,0,1,0,10
68,AC,139,1.0,0,0,0,0,0,0,0,0,1,0,1,1,3
69,AC,139,1.0,0,0,0,0,0,0,0,1,0,0,0,0,30
70,AC,139,1.0,0,0,0,0,0,0,0,1,0,0,1,0,3
71,AC,139,1.0,0,0,0,0,0,0,0,1,1,0,0,0,9
72,AC,139,1.0,0,0,0,0,0,0,0,1,1,0,1,0,5
73,AC,139,1.0,0,0,0,0,0,0,1,0,0,0,0,0,98
74,AC,139,1.0,0,0,0,0,0,0,1,0,0,0,0,1,2
75,AC,139,1.0,0,0,0,0,0,0,1,0,0,0,1,0,11
76,AC,139,1.0,0,0,0,0,0,0,1,0,0,0,1,1,1
77,AC,139,1.0,0,0,0,0,0,0,1,0,0,1,0,0,6
78,AC,139,1.0,0,0,0,0,0,0,1,0,1,0,0,0,6
79,AC,139,1.0,0,0,0,0,0,0,1,0,1,0,1,0,4
80,AC,139,1.0,0,0,0,0,0,0,1,0,1,0,1,1,3
81,AC,139,1.0,0,0,0,0,0,0,1,1,0,1,0,0,1
82,AC,139,1.0,0,0,0,0,0,0,1,1,1,0,0,0,1
83,AC,139,1.0,0,0,0,0,0,0,1,1,1,0,1,0,3
84,AC,139,1.0,0,0,0,0,0,1,0,0,0,0,0,0,21
85,AC,139,1.0,0,0,0,0,0,1,0,0,0,0,0,1,4
86,AC,139,1.0,0,0,0,0,0,1,0,0,0,0,1,0,3
87,AC,139,1.0,0,0,0,0,0,1,0,0,0,0,1,1,2
88,AC,139,1.0,0,0,0,0,0,1,0,0,1,0,0,0,7
89,AC,139,1.0,0,0,0,0,0,1,0,0,1,0,1,0,4
90,AC,139,1.0,0,0,0,0,0,1,0,1,0,0,0,0,2
91,AC,139,1.0,0,0,0,0,0,1,0,1,1,0,0,0,2
92,AC,139,1.0,0,0,0,0,0,1,1,0,0,0,0,0,1
93,AC,139,1.0,0,0,0,0,1,0,0,0,0,0,0,0,145
94,AC,139,1.0,0,0,0,0,1,0,0,0,0,0,1,0,10
95,AC,139,1.0,0,0,0,0,1,0,0,0,0,1,0,0,3
96,AC,139,1.0,0,0,0,0,1,0,0,0,0,1,1,0,4
97,AC,139,1.0,0,0,0,0,1,0,0,0,1,0,0,0,4
98,AC,139,1.0,0,0,0,0,1,0,0,0,1,0,1,0,3
99,AC,139,1.0,0,0,0,0,1,0,0,1,0,0,0,0,4
100,AC,139,1.0,0,0,0,0,1,0,0,1,1,0,0,0,2
101,AC,139,1.0,0,0,0,0,1,0,0,1,1,0,1,0,1
102,AC,139,1.0,0,0,0,0,1,0,1,0,0,0,0,0,7
103,AC,139,1.0,0,0,0,0,1,0,1,0,0,0,1,0,3
104,AC,139,1.0,0,0,0,0,1,0,1,1,1,0,0,0,2
105,AC,139,1.0,0,0,0,0,1,0,1,1,1,0,1,0,1
106,AC,139,1.0,0,0,0,0,1,1,0,0,0,0,0,0,2
107,AC,139,1.0,0,0,0,0,1,1,0,0,0,0,0,1,2
108,AC,139,1.0,0,0,0,0,1,1,0,0,0,0,1,0,5
109,AC,139,1.0,0,0,0,0,1,1,0,0,0,0,1,1,1
110,AC,139,1.0,0,0,0,0,1,1,0,1,1,0,1,0,3
111,AC,139,1.0,0,0,0,1,0,0,0,0,0,0,0,0,3
112,AC,139,1.0,0,0,0,1,0,0,0,1,0,0,1,0,1
113,AC,139,1.0,0,0,0,1,0,0,1,0,0,0,1,0,2
114,AC,139,1.0,0,0,0,1,0,0,1,1,1,0,1,0,1
115,AC,139,1.0,0,0,0,1,1,0,0,0,0,0,0,0,2
116,AC,139,1.0,0,0,0,1,1,0,0,1,0,1,1,0,2
117,AC,139,1.0,0,0,0,1,1,0,1,1,1,0,1,0,2
118,AC,139,1.0,0,0,1,0,0,0,0,0,0,0,0,0,52
119,AC,139,1.0,0,0,1,0,0,0,0,1,0,0,0,0,1
120,AC,139,1.0,0,0,1,0,1,0,0,1,0,0,0,0,1
121,AC,139,1.0,0,1,0,0,0,0,0,0,0,0,0,0,2
122,AC,139,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1
123,AC,139,1.0,0,1,0,0,0,0,1,0,0,0,1,0,1
124,AC,139,1.0,0,1,0,0,0,1,0,0,0,0,0,0,5
125,AC,139,1.0,0,1,0,0,0,1,0,0,0,0,0,1,2
126,AC,139,1.0,0,1,0,0,0,1,0,0,0,0,1,0,3
127,AC,139,1.0,0,1,0,0,0,1,0,0,1,0,0,0,1
128,AC,139,1.0,0,1,0,0,0,1,0,0,1,0,1,0,7
129,AC,139,1.0,0,1,0,0,0,1,0,0,1,0,1,1,1
130,AC,139,1.0,0,1,0,0,0,1,1,0,1,0,1,0,1
131,AC,139,1.0,0,1,0,0,0,1,1,0,1,0,1,1,1
132,AC,139,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1
133,AC,139,1.0,0,1,0,0,1,1,0,0,0,0,0,1,1
134,AC,139,1.0,0,1,0,0,1,1,0,0,1,0,1,0,3
135,AC,139,1.0,0,1,0,0,1,1,1,1,1,0,1,0,3
136,AC,139,3.0,0,0,0,0,0,0,0,0,0,0,1,0,9
137,AC,139,3.0,0,0,0,0,0,0,0,0,0,1,0,0,17
138,AC,139,3.0,0,0,0,0,0,0,0,0,1,0,0,0,2
139,AC,139,3.0,0,0,0,0,0,0,0,1,0,0,0,0,3
140,AC,139,3.0,0,0,0,0,0,0,1,0,0,0,0,0,23
141,AC,139,3.0,0,0,0,0,0,0,1,0,0,0,1,1,2
142,AC,139,3.0,0,0,0,0,0,0,1,0,1,0,0,0,2
143,AC,139,3.0,0,0,0,0,0,0,1,0,1,1,0,0,1
144,AC,139,3.0,0,0,0,0,0,1,0,0,0,0,0,0,3
145,AC,139,3.0,0,0,0,0,1,0,0,0,0,0,0,0,35
146,AC,139,3.0,0,0,0,0,1,0,0,0,0,0,1,0,3
147,AC,139,3.0,0,0,0,0,1,0,1,0,0,0,0,0,2
148,AC,139,3.0,0,0,0,0,1,1,0,0,0,0,0,0,1
149,AC,139,3.0,0,0,1,0,0,0,0,0,0,0,0,0,11
150,AC,139,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
151,AC,139,3.0,0,1,0,0,0,1,0,0,0,0,0,0,1
152,AC,139,5.0,0,0,0,0,0,0,0,0,0,0,1,0,5
153,AC,139,5.0,0,0,0,0,0,0,0,0,0,1,0,0,1
154,AC,139,5.0,0,0,0,0,0,0,0,0,1,0,0,0,4
155,AC,139,5.0,0,0,0,0,0,0,0,0,1,0,1,0,1
156,AC,139,5.0,0,0,0,0,0,0,0,1,0,0,0,0,5
157,AC,139,5.0,0,0,0,0,0,0,0,1,1,0,0,0,1
158,AC,139,5.0,0,0,0,0,0,0,1,0,0,0,0,0,1
159,AC,139,5.0,0,0,0,0,0,0,1,0,0,0,1,1,1
160,AC,139,5.0,0,0,0,0,0,1,0,0,0,0,0,0,1
161,AC,139,5.0,0,0,0,0,0,1,1,0,0,0,0,0,3
162,AC,139,5.0,0,0,0,0,1,0,0,0,0,0,0,0,10
163,AC,139,5.0,0,0,0,0,1,0,0,0,0,0,1,0,2
164,AC,139,5.0,0,0,0,0,1,0,0,1,1,0,1,0,1
165,AC,139,5.0,0,0,0,0,1,0,1,0,0,0,0,0,1
166,AC,139,5.0,0,0,0,0,1,0,1,0,0,0,1,0,1
167,AC,139,5.0,0,0,0,1,0,0,0,0,0,0,0,0,1
168,AC,139,5.0,0,0,1,0,0,0,0,0,0,0,0,0,4
169,AC,139,5.0,0,1,0,0,0,1,0,0,0,0,0,0,1
170,AC,145,1.0,0,0,0,0,0,0,0,0,0,0,1,0,5
171,AC,145,1.0,0,0,0,0,0,0,0,0,1,0,0,0,2
172,AC,145,1.0,0,0,0,0,0,0,0,0,1,0,1,0,2
173,AC,145,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1
174,AC,145,1.0,0,0,0,0,0,0,1,0,0,0,0,0,8
175,AC,145,1.0,0,0,0,0,0,0,1,0,1,0,1,0,4
176,AC,145,1.0,0,0,0,0,0,1,0,0,0,0,1,0,2
177,AC,145,1.0,0,0,0,0,0,1,0,0,1,0,0,0,1
178,AC,145,1.0,0,0,0,0,0,1,0,0,1,0,1,0,1
179,AC,145,1.0,0,0,0,0,1,0,0,0,0,0,0,0,7
180,AC,145,1.0,0,0,0,0,1,0,1,0,0,0,0,0,1
181,AC,145,1.0,0,0,1,0,0,0,0,0,0,0,0,0,2
182,AC,145,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1
183,AC,145,5.0,0,0,0,1,0,0,0,0,0,0,0,0,1
184,AC,147,1.0,0,0,0,0,0,0,0,0,0,0,1,0,2
185,AC,147,1.0,0,0,0,0,0,0,0,0,0,1,0,0,2
186,AC,147,1.0,0,0,0,0,0,0,0,0,1,0,0,0,5
187,AC,147,1.0,0,0,0,0,0,0,0,0,1,0,1,0,1
188,AC,147,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1
189,AC,147,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1
190,AC,147,1.0,0,0,0,0,1,0,0,0,0,0,0,0,18
191,AC,147,1.0,0,0,0,0,1,0,1,0,0,0,0,0,1
192,AC,147,1.0,0,0,1,0,0,0,0,0,0,0,0,0,4
193,AC,147,3.0,0,0,0,0,1,0,1,0,0,0,0,0,1
194,AC,147,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1
195,AC,147,5.0,0,0,0,0,0,0,0,0,1,0,1,0,1
196,AC,147,5.0,0,0,0,0,1,0,0,0,0,0,0,0,2
197,AC,147,5.0,0,0,0,1,0,0,1,0,0,0,0,0,1
198,AC,147,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1
199,AC,149,1.0,0,0,0,0,0,0,0,0,0,0,1,0,4
200,AC,149,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1
201,AC,149,1.0,0,0,0,0,0,0,1,0,0,0,0,0,2
202,AC,149,1.0,0,0,0,0,1,0,0,0,0,0,0,0,13
203,AC,149,1.0,0,0,0,0,1,0,0,0,0,0,1,0,3
204,AC,149,1.0,0,0,0,0,1,1,0,0,0,0,0,0,1
205,AC,149,1.0,0,0,0,0,1,1,0,0,0,0,1,0,1
206,AC,149,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1
207,AC,149,3.0,0,0,0,0,1,0,0,0,0,0,0,0,4
208,AC,149,3.0,0,0,0,0,1,0,0,0,0,0,1,0,1
